,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
483,RED LAKE COUNTY,Minnesota,2017,7.3
484,NORMAN COUNTY,Minnesota,2017,4.8
485,MARTIN COUNTY,Minnesota,2017,4.1
486,SWIFT COUNTY,Minnesota,2017,5.4
487,PENNINGTON COUNTY,Minnesota,2017,5.8
488,OTTER TAIL COUNTY,Minnesota,2017,4.4
489,SHERBURNE COUNTY,Minnesota,2017,4.1
490,STEARNS COUNTY,Minnesota,2017,3.8
491,MAHNOMEN COUNTY,Minnesota,2017,5.8
492,PINE COUNTY,Minnesota,2017,5.8
493,ROCK COUNTY,Minnesota,2017,2.3
494,MEEKER COUNTY,Minnesota,2017,4.5
495,TRAVERSE COUNTY,Minnesota,2017,3.9
496,MURRAY COUNTY,Minnesota,2017,4.7
497,MORRISON COUNTY,Minnesota,2017,5.6
498,STEELE COUNTY,Minnesota,2017,3.6
499,WASECA COUNTY,Minnesota,2017,4.3
500,SAINT LOUIS COUNTY,Minnesota,2017,5.7
501,RICE COUNTY,Minnesota,2017,3.5
502,WATONWAN COUNTY,Minnesota,2017,4.9
503,YELLOW MEDICINE COUNTY,Minnesota,2017,3.8
504,REDWOOD COUNTY,Minnesota,2017,4.1
505,STEVENS COUNTY,Minnesota,2017,3.0
506,NOBLES COUNTY,Minnesota,2017,3.8
507,TODD COUNTY,Minnesota,2017,4.7
508,PIPESTONE COUNTY,Minnesota,2017,3.8
509,WINONA COUNTY,Minnesota,2017,3.5
510,NICOLLET COUNTY,Minnesota,2017,2.8
511,WILKIN COUNTY,Minnesota,2017,3.3
512,WADENA COUNTY,Minnesota,2017,5.9
513,MCLEOD COUNTY,Minnesota,2017,4.4
514,MARSHALL COUNTY,Minnesota,2017,7.3
515,WRIGHT COUNTY,Minnesota,2017,3.9
516,MOWER COUNTY,Minnesota,2017,3.2
517,WABASHA COUNTY,Minnesota,2017,3.7
518,POLK COUNTY,Minnesota,2017,4.3
519,RAMSEY COUNTY,Minnesota,2017,3.6
520,ROSEAU COUNTY,Minnesota,2017,5.1
521,POPE COUNTY,Minnesota,2017,3.6
522,MILLE LACS COUNTY,Minnesota,2017,6.0
523,WASHINGTON COUNTY,Minnesota,2017,3.3
