COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
Hubbard County                  ,Minnesota,2018,5.1
Freeborn County                 ,Minnesota,2018,3.3
Lake County                     ,Minnesota,2018,3.2
Houston County                  ,Minnesota,2018,3.0
Goodhue County                  ,Minnesota,2018,2.8
Kandiyohi County                ,Minnesota,2018,3.0
Anoka County                    ,Minnesota,2018,2.9
Red Lake County                 ,Minnesota,2018,6.7
Norman County                   ,Minnesota,2018,4.7
Martin County                   ,Minnesota,2018,3.5
Swift County                    ,Minnesota,2018,4.1
Pennington County               ,Minnesota,2018,5.7
Otter Tail County               ,Minnesota,2018,4.0
Sherburne County                ,Minnesota,2018,3.8
Stearns County                  ,Minnesota,2018,3.4
Mahnomen County                 ,Minnesota,2018,5.1
Pine County                     ,Minnesota,2018,5.8
Rock County                     ,Minnesota,2018,2.1
Meeker County                   ,Minnesota,2018,4.1
Traverse County                 ,Minnesota,2018,3.6
Murray County                   ,Minnesota,2018,4.4
Morrison County                 ,Minnesota,2018,5.4
Steele County                   ,Minnesota,2018,3.4
Waseca County                   ,Minnesota,2018,3.9
Saint Louis County              ,Minnesota,2018,4.7
Rice County                     ,Minnesota,2018,3.2
Watonwan County                 ,Minnesota,2018,4.4
Yellow Medicine County          ,Minnesota,2018,3.5
Redwood County                  ,Minnesota,2018,4.1
Stevens County                  ,Minnesota,2018,2.7
Nobles County                   ,Minnesota,2018,3.2
Todd County                     ,Minnesota,2018,4.0
Pipestone County                ,Minnesota,2018,3.4
Winona County                   ,Minnesota,2018,3.1
Nicollet County                 ,Minnesota,2018,2.6
Wilkin County                   ,Minnesota,2018,3.1
Wadena County                   ,Minnesota,2018,5.6
McLeod County                   ,Minnesota,2018,3.8
Marshall County                 ,Minnesota,2018,7.0
Wright County                   ,Minnesota,2018,3.6
Mower County                    ,Minnesota,2018,2.8
Wabasha County                  ,Minnesota,2018,3.4
Polk County                     ,Minnesota,2018,4.2
Ramsey County                   ,Minnesota,2018,3.3
Roseau County                   ,Minnesota,2018,4.9
Pope County                     ,Minnesota,2018,3.1
Mille Lacs County               ,Minnesota,2018,5.6
Washington County               ,Minnesota,2018,3.0
Renville County                 ,Minnesota,2018,4.5
Scott County                    ,Minnesota,2018,2.9
Olmsted County,Minnesota,2018,2.7
Sibley County                   ,Minnesota,2018,3.6
Becker County                   ,Minnesota,2017,4.2
Carlton County                  ,Minnesota,2017,4.8
Lac qui Parle County            ,Minnesota,2017,3.5
Douglas County                  ,Minnesota,2017,3.2
Cook County                     ,Minnesota,2017,3.9
Isanti County                   ,Minnesota,2017,4.4
Big Stone County                ,Minnesota,2017,4.5
Kittson County                  ,Minnesota,2017,3.7
Cass County                     ,Minnesota,2017,6.0
Lincoln County                  ,Minnesota,2017,3.2
Cottonwood County               ,Minnesota,2017,5.3
Benton County                   ,Minnesota,2017,4.1
Koochiching County              ,Minnesota,2017,7.2
Blue Earth County               ,Minnesota,2017,2.9
Beltrami County                 ,Minnesota,2017,4.9
Carver County                   ,Minnesota,2017,3.0
Brown County                    ,Minnesota,2017,3.7
Hennepin County                 ,Minnesota,2017,3.1
Aitkin County                   ,Minnesota,2017,6.3
Grant County                    ,Minnesota,2017,4.1
Kanabec County                  ,Minnesota,2017,6.1
Lyon County                     ,Minnesota,2017,3.2
Fillmore County                 ,Minnesota,2017,3.5
Crow Wing County                ,Minnesota,2017,4.5
Dodge County                    ,Minnesota,2017,3.4
Lake of the Woods County        ,Minnesota,2017,4.7
Chisago County                  ,Minnesota,2017,4.0
Itasca County                   ,Minnesota,2017,7.0
Clearwater County               ,Minnesota,2017,8.9
Jackson County                  ,Minnesota,2017,3.7
Faribault County                ,Minnesota,2017,4.2
Dakota County                   ,Minnesota,2017,3.1
Chippewa County                 ,Minnesota,2017,4.0
Clay County                     ,Minnesota,2017,3.2
Le Sueur County                 ,Minnesota,2017,4.7
Hubbard County                  ,Minnesota,2017,5.7
Freeborn County                 ,Minnesota,2017,3.7
Lake County                     ,Minnesota,2017,3.9
Houston County                  ,Minnesota,2017,3.5
Goodhue County                  ,Minnesota,2017,3.3
Kandiyohi County                ,Minnesota,2017,3.3
Anoka County                    ,Minnesota,2017,3.4
Red Lake County                 ,Minnesota,2017,7.3
Norman County                   ,Minnesota,2017,4.8
Martin County                   ,Minnesota,2017,4.1
Swift County                    ,Minnesota,2017,5.4
Pennington County               ,Minnesota,2017,5.8
Otter Tail County               ,Minnesota,2017,4.4
Sherburne County                ,Minnesota,2017,4.1
Stearns County                  ,Minnesota,2017,3.8
Mahnomen County                 ,Minnesota,2017,5.8
Pine County                     ,Minnesota,2017,5.8
Rock County                     ,Minnesota,2017,2.3
Meeker County                   ,Minnesota,2017,4.5
Traverse County                 ,Minnesota,2017,3.9
Murray County                   ,Minnesota,2017,4.7
Morrison County                 ,Minnesota,2017,5.6
Steele County                   ,Minnesota,2017,3.6
Waseca County                   ,Minnesota,2017,4.3
Saint Louis County              ,Minnesota,2017,5.7
Rice County                     ,Minnesota,2017,3.5
Watonwan County                 ,Minnesota,2017,4.9
Yellow Medicine County          ,Minnesota,2017,3.8
Redwood County                  ,Minnesota,2017,4.1
Stevens County                  ,Minnesota,2017,3.0
Nobles County                   ,Minnesota,2017,3.8
Todd County                     ,Minnesota,2017,4.7
Pipestone County                ,Minnesota,2017,3.8
Winona County                   ,Minnesota,2017,3.5
Nicollet County                 ,Minnesota,2017,2.8
Wilkin County                   ,Minnesota,2017,3.3
Wadena County                   ,Minnesota,2017,5.9
McLeod County                   ,Minnesota,2017,4.4
Marshall County                 ,Minnesota,2017,7.3
Wright County                   ,Minnesota,2017,3.9
Mower County                    ,Minnesota,2017,3.2
Wabasha County                  ,Minnesota,2017,3.7
Polk County                     ,Minnesota,2017,4.3
Ramsey County                   ,Minnesota,2017,3.6
Roseau County                   ,Minnesota,2017,5.1
Pope County                     ,Minnesota,2017,3.6
Mille Lacs County               ,Minnesota,2017,6.0
Washington County               ,Minnesota,2017,3.3
Renville County                 ,Minnesota,2017,5.3
Scott County                    ,Minnesota,2017,3.2
Olmsted County,Minnesota,2017,3.0
Sibley County                   ,Minnesota,2017,4.3
Becker County                   ,Minnesota,2016,4.6
Carlton County                  ,Minnesota,2016,5.3
Lac qui Parle County            ,Minnesota,2016,4.3
Douglas County                  ,Minnesota,2016,3.5
Cook County                     ,Minnesota,2016,4.6
Isanti County                   ,Minnesota,2016,4.7
Big Stone County                ,Minnesota,2016,4.8
Kittson County                  ,Minnesota,2016,4.6
Cass County                     ,Minnesota,2016,6.8
Lincoln County                  ,Minnesota,2016,3.6
Cottonwood County               ,Minnesota,2016,7.2
Benton County                   ,Minnesota,2016,4.4
Koochiching County              ,Minnesota,2016,8.5
Blue Earth County               ,Minnesota,2016,3.2
Beltrami County                 ,Minnesota,2016,5.2
Carver County                   ,Minnesota,2016,3.3
Brown County                    ,Minnesota,2016,4.2
Hennepin County                 ,Minnesota,2016,3.3
Aitkin County                   ,Minnesota,2016,7.0
Grant County                    ,Minnesota,2016,4.7
Kanabec County                  ,Minnesota,2016,6.5
Lyon County                     ,Minnesota,2016,3.6
Fillmore County                 ,Minnesota,2016,4.0
Crow Wing County                ,Minnesota,2016,5.1
Dodge County                    ,Minnesota,2016,3.7
Lake of the Woods County        ,Minnesota,2016,4.8
Chisago County                  ,Minnesota,2016,4.3
Itasca County                   ,Minnesota,2016,8.5
Clearwater County               ,Minnesota,2016,9.6
Jackson County                  ,Minnesota,2016,4.5
Faribault County                ,Minnesota,2016,4.4
Dakota County                   ,Minnesota,2016,3.4
Chippewa County                 ,Minnesota,2016,4.5
Clay County                     ,Minnesota,2016,3.4
Le Sueur County                 ,Minnesota,2016,4.9
Hubbard County                  ,Minnesota,2016,6.5
Freeborn County                 ,Minnesota,2016,3.8
Lake County                     ,Minnesota,2016,6.4
Houston County                  ,Minnesota,2016,3.9
Goodhue County                  ,Minnesota,2016,3.7
Kandiyohi County                ,Minnesota,2016,3.8
Anoka County                    ,Minnesota,2016,3.7
Red Lake County                 ,Minnesota,2016,6.0
Norman County                   ,Minnesota,2016,4.8
Martin County                   ,Minnesota,2016,4.2
Swift County                    ,Minnesota,2016,6.2
Pennington County               ,Minnesota,2016,5.2
Otter Tail County               ,Minnesota,2016,4.3
Sherburne County                ,Minnesota,2016,4.1
Stearns County                  ,Minnesota,2016,3.7
Mahnomen County                 ,Minnesota,2016,5.9
Pine County                     ,Minnesota,2016,5.7
Rock County                     ,Minnesota,2016,2.2
Meeker County                   ,Minnesota,2016,4.3
Traverse County                 ,Minnesota,2016,4.2
Murray County                   ,Minnesota,2016,4.5
Morrison County                 ,Minnesota,2016,5.5
Steele County                   ,Minnesota,2016,3.4
Waseca County                   ,Minnesota,2016,4.2
Saint Louis County              ,Minnesota,2016,5.1
Rice County                     ,Minnesota,2016,3.6
Watonwan County                 ,Minnesota,2016,4.8
Yellow Medicine County          ,Minnesota,2016,3.8
Redwood County                  ,Minnesota,2016,4.0
Stevens County                  ,Minnesota,2016,2.9
Nobles County                   ,Minnesota,2016,3.3
Todd County                     ,Minnesota,2016,4.5
Pipestone County                ,Minnesota,2016,3.4
Winona County                   ,Minnesota,2016,3.4
Nicollet County                 ,Minnesota,2016,2.7
Wilkin County                   ,Minnesota,2016,3.4
Wadena County                   ,Minnesota,2016,6.0
McLeod County                   ,Minnesota,2016,4.0
Marshall County                 ,Minnesota,2016,7.0
Wright County                   ,Minnesota,2016,3.8
Mower County                    ,Minnesota,2016,3.3
Wabasha County                  ,Minnesota,2016,3.9
Polk County                     ,Minnesota,2016,4.3
Ramsey County                   ,Minnesota,2016,3.6
Roseau County                   ,Minnesota,2016,4.1
Pope County                     ,Minnesota,2016,3.5
Mille Lacs County               ,Minnesota,2016,5.9
Washington County               ,Minnesota,2016,3.2
Renville County                 ,Minnesota,2016,4.9
Scott County                    ,Minnesota,2016,3.2
Olmsted County,Minnesota,2016,3.0
Sibley County                   ,Minnesota,2016,4.2
Becker County                   ,Minnesota,2015,4.5
Carlton County                  ,Minnesota,2015,5.0
Lac qui Parle County            ,Minnesota,2015,4.2
Douglas County                  ,Minnesota,2015,3.5
Cook County                     ,Minnesota,2015,4.5
Isanti County                   ,Minnesota,2015,4.4
Big Stone County                ,Minnesota,2015,4.5
Kittson County                  ,Minnesota,2015,4.7
Cass County                     ,Minnesota,2015,6.8
Lincoln County                  ,Minnesota,2015,3.6
Cottonwood County               ,Minnesota,2015,4.9
Benton County                   ,Minnesota,2015,4.5
Koochiching County              ,Minnesota,2015,8.3
Blue Earth County               ,Minnesota,2015,3.0
Beltrami County                 ,Minnesota,2015,5.0
Carver County                   ,Minnesota,2015,3.2
Brown County                    ,Minnesota,2015,4.2
